ID	Name	Dataset	Family	Glottocode	Sources	Latitude	Longitude
Abipon	Abipón	base	Guaicuruan	abip1241	najlis1966	-29	-61
Ava	Ava Guaraní	base	Tupian	east2555	dietrich2015	-20.42	-63.37
Ayoreo	Ayoreo	base plants	Zamucoan	ayor1240	benz2020, schmeda1998, briggs2015	-19.22	-60.22
Cerriteno	Toba de Cerrito	base	Guaicuruan	toba1269	messineo2009	-27.3247044	-57.6695154
Chamacoco	Chamacoco	base	Zamucoan	cham1315	ciucci2013	-20.59	-58.2
Chorote	Iyojwa'ja Chorote	base plants	Matacoan	iyoj1235	drayson2009, scarpa2010	-22.19	-63.24
Enlhet	Enlhet	plants base	Enlhet-Enenlhet	nort2971	unruh1997, kalisch2015, arenas1981	-22.54	-58.98
EnxetSur	Enxet Sur	plants	Enlhet-Enenlhet	sout2989	curtis2018	-23.43	-57.95
Guarani	Guaraní Paraguayo	base plants	Tupian	para1311	guasch1995, seelwische1980, carol2018	-25.61	-57.09
GuaraniIzoceno	Guaraní Izoceño	plants	Tupian	izoc1240	izoceno2002		
Iyowujwa	Iyo'wujwa' Chorote	plants	Matacoan	iyow1239	scarpa2010	-22.21	-62.65
Kadiweo	Kadiweo	base	Guaicuruan	kadi1248	griffiths2002	-19.72	-57.58
Lule	Lule	base	Lule-Vilela	lule1238	machoni1878	-25.22	-61.89
Maka	Maká	base plants	Matacoan	maca1260	gerzenstein1999, arenas1983	-25.01	-57.37
Manjui	Manjui	base plants	Matacoan	iyow1239	carol2018	-22.48	-62.3
Mapudungun	Mapudungun	base	Araucanian	mapu1245	catrileo2017, catrileo2015	-38.74	-71.28
Mbya	Mbya	base	Tupian	mbya1239	cadogan1992	-26.02	 -52.71
Mocovi	Mocoví	base plants	Guaicuruan	moco1246	buckwalter2004, buckwalter2015b, rosso2010	-28.1	-60.41
Nivacle	Nivaclé	base plants	Matacoan	niva1238	seelwische1980	-22.86	-61.76
Pilaga	Pilagá	base plants	Guaicuruan	pila1245	buckwalter2015, vidal2010, filipov1993	-25.01	-60.15
Quichua	Quichua Santiagueño	base	Quechua	sant1432	bravo1975	-27.82	-63.25
Tapiete	Tapiete	plants	Tupian	tapi1253	gonzalez2011	-21.42	-62.68
Toba	Toba	base plants	Guaicuruan	toba1269	buckwalter1980, martinez2009, cuneo2009, buckwalter2015c	-23.77	-61.96
TobaPilaga	Toba-pilagá	plants	Guaicuruan	toba1270	arenas1993	-23.4989	-61.6489
Vilela	Vilela	base	Lule-Vilela	vile1241	golluscio2009	-27.41	-58.97
Wichi	Wichí	base plants	Matacoan	wich1261	braunstein2015, suarez2010	-23.16	-62.18
